종목	코드	현재가	시가총액	PER	E_PER	PBR	ROE	배당수익률
동국제강	001230	4040	4,085		-9.00	0.21	-2.44	
우진아이엔에스	010400	6880	524	24.62		0.48	1.97	3.64
동원금속	018500	648	302			0.52	-43.38	
한국공항	005430	45700	1,426	8.77		0.43	5.07	2.22
코오롱	002020	18000	2,342	5.07		0.40	-2.60	2.69
GS건설	006360	24050	21,706	4.88	4.00	0.54	12.08	3.69
KG동부제철	016380	11850	11,901			1.34	-7.44	
깨끗한나라	004540	4135	1,542	14.33		0.90	-7.29	
한솔로지스틱스	009180	1500	412	6.38		0.85	11.43	2.67
S&T중공업	003570	5400	1,816	11.64		0.24	2.72	5.49
폴루스바이오팜	007630	1225	482			0.83	-27.04	
대원강업	000430	3135	1,944	22.23		0.42	3.39	3.67
GS글로벌	001250	1685	1,424			0.39	-4.61	
삼영무역	002810	13650	2,539	7.72		0.69	10.32	2.43
대영포장	014160	1090	1,203	11.10		0.75	7.42	
STX	011810	6630	1,314			2.29	-54.53	
삼원강재	023000	2235	910	8.78		0.43	5.03	5.05
현대그린푸드	005440	8810	8,578	15.65	9.00	0.45	5.24	2.39
한솔PNS	010420	1490	307	10.00		0.75	7.94	1.67
아세아	002030	80600	1,755	3.65		0.20	6.37	2.18
우진비앤지	018620	2395	627			2.07	-47.55	
한세예스24홀딩스	016450	5170	2,080	148.57		0.78	5.49	4.81
대구백화점	006370	5240	562			0.15	-6.93	1.93
현대비앤지스틸	004560	7280	1,184	5.28		0.29	5.55	1.27
대양금속	009190	5890	1,842	44.18		3.22	7.06	
넥스트사이언스	003580	6520	2,062			2.41	-30.34	
이수페타시스	007660	3680	1,527			2.13	8.25	1.62
중앙에너비스	000440	8910	557	81.36		0.94		1.79
남광토건	001260	11650	1,179	28.24		2.11	7.58	
선창산업	002820	3680	464			0.20	-15.85	
원익큐브	014190	1590	573	15.00		0.71	4.94	
신성이엔지	011930	971	1,682	60.50		1.15	1.77	
신한	005450	4945	347			1.11	-33.19	
오리콤	010470	4640	540	8.95		0.63	7.36	4.77
MH에탄올	023150	8600	626			0.96	-0.88	4.12
SK가스	018670	79900	7,375	2.83	4.00	0.42	10.03	3.72
환인제약	016580	14000	2,641	14.13		0.79		2.11
남영비비안	002070	1250	841			0.77	-2.12	
카프로	006380	3010	1,212			0.71	-36.47	
한국가구	004590	4710	713	11.74		0.69	5.97	2.42
무림페이퍼	009200	2120	890			0.20	-2.17	2.34
방림	003610	1815	751	15.30		0.36	3.01	2.25
대원	007680	9200	1,064	13.76		0.37	3.38	2.72
부국증권	001270	19000	1,975	9.27		0.35	5.80	6.30
조선내화	000480	74100	2,956	18.11		0.42	4.13	5.41
미원상사	002840	68900	3,469	11.32		1.58	14.74	0.94
광림	014200	1800	947			1.21	-7.84	
POSCO	005490	172000	152,577	10.25	10.00	0.32	3.27	5.71
DB	012030	769	1,553	22.06		0.77	2.53	
지코	010580	306	198			0.97	-43.44	
한일현대시멘트	006390	29300	5,030	12.16		2.46	17.45	3.34
태광	023160	7370	1,998	18.48	17.00	0.45	2.75	1.33
서울제약	018680	8760	748	315.00		1.48	0.47	0.17
신대양제지	016590	57600	2,333	4.18		0.56	14.26	1.08
한샘	009240	84400	20663	48.37	34.00	2.61	9.95	1.37
창해에탄올	004650	14550	1,342	6.27		0.91	18.58	4.11
경농	002100	11950	2,603	41.52		1.08	2.47	1.83
쌍용차	003620	1465	2,278			0.57	-62.27	
국도화학	007690	39800	2,304	7.14		0.42	6.89	3.78
상상인증권	001290	1220	1,192			0.76	-6.42	
신풍제지	002870	1390	489	5.74		0.66	32.25	4.29
대동공업	000490	5010	1,183	38.05		0.48	1.46	1.20
금강공업	014280	3185	784			0.27	-3.23	2.49
삼진제약	005500	26200	3,739	45.06		1.69	5.69	2.97
영흥	012160	1160	1,060	36.32		0.39	0.64	2.43
삼성SDI	006400	348000	250991	86.55	50.00	2.02	4.08	0.27
바른손	018700	3310	965			1.58	-23.11	
삼천리	004690	67700	2,733	19.13	9.00	0.18	2.38	4.45
웰바이오텍	010600	2580	1,080			1.43	-20.27	
신원	009270	1650	1,416	97.94		0.64	0.74	
고려산업	002140	3490	845	18.83		0.87	4.75	0.88
한국종합기술	023350	4355	473			0.50	-3.61	2.32
큐캐피탈	016600	700	1,167	19.31		0.85	4.70	
미창석유	003650	59500	1,016	8.93		0.35		3.42
F&F	007700	97300	15,030	13.70	12.00	3.11	22.50	1.02
백광산업	001340	2735	1,231	10.42		0.70		2.74
대유에이텍	002880	710	775	7.71		0.70	9.75	
가온전선	000500	16900	722	13.20		0.27	2.12	3.46
영보화학	014440	2780	559	18.51		0.38	3.56	3.58
SPC삼립	005610	71700	6,247	39.22	18.00	1.84	10.19	1.52
키위미디어그룹	012170	150	296				-272.63	
한온시스템	018880	8960	48,896	16.47	31.00	2.19	7.21	3.49
도화엔지니어링	002150	8740	2,961	13.16		1.17	11.19	2.85
인스코비	006490	2610	2,594			10.48	-88.74	
조광피혁	004700	42550	2,856	18.39		0.59	5.66	
유진기업	023410	4125	3,232	16.26		0.40	2.61	3.59
현대미포조선	010620	30250	12,202	16.35	13.00	0.52	3.91	1.15
DB금융투자	016610	3290	1,422	2.93		0.20	7.15	7.46
광동제약	009290	7600	4,036	16.38		0.71	5.57	1.04
포스코케미칼	003670	59700	36,776	44.63	48.00	3.72	7.42	0.66
대명소노시즌	007720	1275	1,280	2.01		0.77	47.52	
삼성제약	001360	4070	2,514			1.80	5.02	
동양물산	002900	1015	1,304	19.17		1.15	5.07	
삼일제약	000520	18750	1,242	86.82		1.84	1.33	0.79
부방	014470	2230	1,351			0.66	-4.69	0.89
푸드웰	005670	5830	582	1.91		0.73	50.19	1.72
계양전기	012200	2920	960	1,472.50		0.54	0.07	1.19
한솔테크닉스	004710	7820	2,495	17.66		0.88	8.70	
삼양통상	002170	53400	1,614	3.65		0.47	14.22	1.86
삼아제약	009300	14450	924	9.06		0.53		2.07
베뉴지	019010	1535	750	21.01		0.24	1.41	1.93
진양폴리	010640	2885	288	3.94		1.11		3.47
